record_id,region,country,date,network_type,operator,device_type,signal_strength_dbm,latency_ms,throughput_mbps,data_usage_gb,call_drop_rate,packet_loss_percent,jitter_ms,download_speed_mbps,upload_speed_mbps,num_connected_users,network_availability_percent,temperature_celsius,weather_condition
R00080,West,Spain,2023-01-04 07:00:00,5G,Deutsche Telekom,Router,-86,51,174.48,8.15,1.28,0.95,1.51,198.89,47.89,81,98.24,29.5,Clear
R00081,Central,Italy,2023-01-04 08:00:00,4G,Orange,Tablet,-58,55,146.94,14.12,1.9,0.39,4.02,221.25,133.11,407,96.92,3.5,Rainy
R00082,North,Italy,2023-01-04 09:00:00,4G,Telecom Italia,Router,-81,38,20.6,3.55,1.41,0.79,17.93,39.45,63.71,161,98.3,17.0,Rainy
R00083,Central,Spain,2023-01-04 10:00:00,5G,Orange,Smartphone,-66,41,45.9,17.35,1.56,0.64,9.77,246.61,41.56,773,98.61,11.2,Cloudy
R00084,Central,Italy,2023-01-04 11:00:00,4G,Vodafone,Tablet,-70,84,231.34,4.06,0.61,0.24,10.65,31.8,103.37,308,97.69,6.0,Cloudy
R00085,North,France,2023-01-04 12:00:00,5G,Deutsche Telekom,Smartphone,-51,76,65.9,6.41,0.21,0.93,18.24,138.07,9.39,959,96.28,25.4,Rainy
R00086,North,France,2023-01-04 13:00:00,5G,O2,Router,-82,30,248.3,26.87,0.58,0.26,10.21,151.5,117.39,326,97.76,33.5,Stormy
R00087,North,Italy,2023-01-04 14:00:00,5G,Deutsche Telekom,Router,-93,45,173.1,29.99,0.81,0.87,13.44,20.66,106.19,377,97.11,30.2,Clear
R00088,North,Italy,2023-01-04 15:00:00,4G,Vodafone,Tablet,-60,67,116.65,16.73,1.38,0.64,5.22,29.08,12.99,165,99.45,27.5,Rainy
R00089,West,France,2023-01-04 16:00:00,4G,O2,Tablet,-70,38,230.81,18.78,1.88,0.62,2.55,140.69,77.21,287,98.7,-2.0,Stormy
R00090,East,Italy,2023-01-04 17:00:00,5G,O2,Router,-82,102,200.8,24.02,1.62,0.84,7.71,100.26,63.6,736,98.09,-0.6,Stormy
R00091,East,Italy,2023-01-04 18:00:00,4G,Orange,Tablet,-65,31,112.95,21.04,0.53,0.49,16.17,246.61,27.93,582,95.2,15.9,Cloudy
R00092,North,Spain,2023-01-04 19:00:00,4G,Telecom Italia,Tablet,-82,86,26.46,5.88,1.64,0.85,9.49,130.02,27.34,347,99.95,20.0,Cloudy
R00093,East,Germany,2023-01-04 20:00:00,4G,Orange,Smartphone,-56,75,218.39,12.64,0.82,0.55,4.19,40.6,28.23,913,97.83,27.6,Clear
R00094,East,France,2023-01-04 21:00:00,4G,O2,Router,-86,37,193.61,16.29,0.35,0.98,11.36,55.78,91.95,706,96.29,11.0,Cloudy
R00095,North,Spain,2023-01-04 22:00:00,5G,O2,Smartphone,-87,24,199.78,11.11,0.92,0.66,6.01,205.31,29.81,601,97.96,-4.0,Clear
R00096,East,Germany,2023-01-04 23:00:00,4G,Telecom Italia,Tablet,-56,43,188.77,5.7,1.13,0.37,18.99,285.52,13.64,107,99.09,-3.4,Rainy
R00097,Central,Italy,2023-01-05 00:00:00,5G,Deutsche Telekom,Smartphone,-53,97,76.18,22.22,1.53,0.76,11.97,262.18,143.85,164,97.69,33.5,Clear
R00098,South,Italy,2023-01-05 01:00:00,5G,Telecom Italia,Router,-54,57,216.12,6.37,0.7,0.51,19.68,47.55,10.68,437,98.88,0.8,Cloudy
R00099,South,Spain,2023-01-05 02:00:00,4G,Orange,Smartphone,-78,86,10.54,8.18,0.29,0.81,1.82,14.75,101.26,603,97.07,37.2,Cloudy
R00100,North,Italy,2023-01-05 03:00:00,5G,Deutsche Telekom,Smartphone,-60,89,66.95,8.95,0.19,0.83,1.22,17.67,140.72,904,97.95,10.0,Stormy
R00101,West,Netherlands,2023-01-05 04:00:00,5G,Orange,Tablet,-60,95,21.17,5.27,0.22,0.62,10.06,170.91,10.5,362,97.11,21.3,Cloudy
R00102,North,Spain,2023-01-05 05:00:00,4G,Telecom Italia,Router,-84,71,36.54,25.56,1.9,0.87,17.38,150.91,145.03,597,97.64,2.6,Stormy
R00103,West,Germany,2023-01-05 06:00:00,5G,Deutsche Telekom,Tablet,-56,94,137.77,18.51,1.9,0.4,10.96,13.89,77.84,302,95.84,15.4,Cloudy
R00104,South,Spain,2023-01-05 07:00:00,5G,Telecom Italia,Tablet,-93,58,18.94,25.13,1.94,0.06,17.65,26.57,118.84,101,97.99,34.4,Stormy
R00105,North,France,2023-01-05 08:00:00,4G,Vodafone,Router,-78,78,53.53,15.07,0.6,0.66,3.48,299.93,95.64,967,99.89,39.3,Clear
R00106,Central,Spain,2023-01-05 09:00:00,4G,O2,Smartphone,-89,45,65.86,15.83,0.38,0.76,14.29,289.83,94.44,906,98.82,29.5,Clear
R00107,East,Italy,2023-01-05 10:00:00,4G,Deutsche Telekom,Tablet,-65,84,167.28,18.68,1.96,0.07,13.54,46.75,119.37,501,96.6,29.4,Clear
R00108,West,Italy,2023-01-05 11:00:00,4G,O2,Smartphone,-95,99,122.52,11.44,1.98,0.77,11.35,57.59,14.49,571,99.32,34.8,Stormy
R00109,East,Netherlands,2023-01-05 12:00:00,4G,Vodafone,Router,-65,67,120.02,15.15,0.16,0.64,8.7,271.05,61.9,201,99.48,6.0,Clear
R00110,East,Netherlands,2023-01-05 13:00:00,5G,Deutsche Telekom,Tablet,-83,72,194.42,16.63,1.51,0.12,13.29,157.16,145.59,980,95.88,28.1,Rainy
R00111,North,Netherlands,2023-01-05 14:00:00,5G,O2,Smartphone,-67,28,119.61,28.63,0.58,0.54,11.45,287.81,12.92,931,95.27,20.1,Clear
R00112,East,Germany,2023-01-05 15:00:00,4G,O2,Smartphone,-93,24,93.64,26.55,1.82,0.11,6.18,160.9,43.11,895,97.86,6.8,Clear
R00113,Central,Netherlands,2023-01-05 16:00:00,4G,Deutsche Telekom,Tablet,-67,91,240.99,4.31,0.18,0.32,2.99,177.39,102.46,709,97.38,-2.5,Stormy
R00114,East,Germany,2023-01-05 17:00:00,5G,O2,Router,-61,80,11.99,1.72,1.78,0.8,8.35,73.84,19.56,415,98.57,4.0,Clear
R00115,North,Netherlands,2023-01-05 18:00:00,4G,O2,Smartphone,-81,40,83.29,20.57,0.01,0.1,10.74,264.06,82.82,558,96.47,24.3,Cloudy
R00116,Central,Germany,2023-01-05 19:00:00,4G,Deutsche Telekom,Router,-75,116,156.25,1.95,1.04,0.46,10.66,249.25,108.44,101,96.9,20.6,Stormy
R00117,South,Spain,2023-01-05 20:00:00,5G,O2,Tablet,-77,82,197.87,2.28,0.67,0.61,9.09,107.85,114.83,808,96.32,-1.9,Clear
R00118,East,Spain,2023-01-05 21:00:00,5G,O2,Smartphone,-68,39,205.94,5.2,0.85,0.94,7.22,187.59,86.37,319,96.46,20.3,Rainy
R00119,North,Italy,2023-01-05 22:00:00,5G,Orange,Smartphone,-92,77,21.06,10.88,0.87,0.74,7.66,109.02,77.59,984,95.05,12.6,Stormy
R00120,South,Germany,2023-01-05 23:00:00,4G,Orange,Smartphone,-51,64,180.19,13.33,1.31,0.14,6.05,144.55,108.51,634,97.55,-4.3,Clear
R00121,South,France,2023-01-06 00:00:00,5G,Vodafone,Router,-83,41,182.86,15.82,0.05,0.97,12.02,257.53,26.03,299,97.37,35.9,Rainy
R00122,West,Italy,2023-01-06 01:00:00,4G,Orange,Smartphone,-81,96,61.38,29.77,1.38,0.48,17.15,130.47,103.68,723,96.78,6.6,Stormy
R00123,Central,Spain,2023-01-06 02:00:00,5G,Orange,Smartphone,-57,94,37.07,11.86,0.04,0.37,17.71,253.76,138.29,645,97.7,19.9,Cloudy
R00124,East,Germany,2023-01-06 03:00:00,4G,Vodafone,Tablet,-64,101,189.92,7.66,0.37,0.13,19.88,288.44,104.0,884,96.96,21.5,Cloudy
R00125,North,Netherlands,2023-01-06 04:00:00,4G,O2,Smartphone,-93,82,69.88,17.47,1.21,0.93,2.69,130.74,11.74,509,97.16,17.4,Clear
R00126,West,France,2023-01-06 05:00:00,4G,O2,Router,-66,49,10.4,6.85,0.17,0.59,5.07,264.48,78.37,548,95.01,5.8,Rainy
R00127,Central,Spain,2023-01-06 06:00:00,5G,Orange,Tablet,-76,82,63.66,28.25,1.98,0.99,14.87,98.16,110.31,161,95.33,13.3,Cloudy
R00128,West,Italy,2023-01-06 07:00:00,5G,Vodafone,Tablet,-94,116,17.46,8.15,1.57,0.17,13.26,10.83,11.27,152,95.75,8.1,Rainy
R00129,Central,Germany,2023-01-06 08:00:00,5G,O2,Smartphone,-71,63,69.8,29.7,1.41,0.55,3.54,34.5,115.52,61,95.92,14.5,Cloudy
R00130,Central,France,2023-01-06 09:00:00,4G,Telecom Italia,Tablet,-85,86,90.4,12.85,0.54,0.11,12.99,223.76,45.83,859,97.26,-1.3,Stormy
R00131,East,Germany,2023-01-06 10:00:00,5G,Deutsche Telekom,Smartphone,-95,77,75.14,24.47,0.1,0.52,8.72,39.05,90.37,519,99.37,2.5,Cloudy
R00132,Central,Netherlands,2023-01-06 11:00:00,5G,Deutsche Telekom,Tablet,-86,84,230.78,19.62,1.96,0.89,19.18,282.36,145.12,788,97.03,1.2,Rainy
R00133,West,Italy,2023-01-06 12:00:00,4G,Deutsche Telekom,Router,-79,55,65.81,28.04,0.3,0.11,17.25,261.31,149.26,281,98.14,21.8,Rainy
R00134,Central,Germany,2023-01-06 13:00:00,4G,Orange,Smartphone,-66,25,122.21,18.95,1.66,0.27,2.39,159.31,96.99,976,95.13,24.5,Clear
R00135,East,Spain,2023-01-06 14:00:00,5G,Deutsche Telekom,Router,-61,56,239.78,17.65,0.4,0.68,2.71,178.64,76.27,553,99.27,36.1,Stormy
R00136,East,Italy,2023-01-06 15:00:00,5G,Deutsche Telekom,Smartphone,-77,112,221.01,19.76,0.75,0.08,8.92,211.36,30.77,504,95.57,6.8,Cloudy
R00137,West,Spain,2023-01-06 16:00:00,5G,Telecom Italia,Router,-62,94,84.22,23.7,1.39,0.45,1.16,222.14,35.21,698,96.42,12.7,Stormy
R00138,South,Germany,2023-01-06 17:00:00,4G,O2,Router,-64,74,88.36,27.02,1.89,0.33,2.79,152.45,67.23,943,99.08,23.0,Stormy
R00139,South,Italy,2023-01-06 18:00:00,5G,Telecom Italia,Tablet,-84,96,152.4,8.37,0.04,0.84,18.72,100.89,106.83,612,96.32,38.7,Rainy
R00140,Central,Spain,2023-01-06 19:00:00,4G,Orange,Smartphone,-53,94,230.29,6.43,0.52,0.05,16.06,273.97,116.55,86,96.29,12.6,Clear
R00141,North,Netherlands,2023-01-06 20:00:00,4G,Deutsche Telekom,Tablet,-79,78,12.4,1.51,1.53,0.86,13.78,23.5,37.18,199,98.01,8.0,Stormy
R00142,Central,Netherlands,2023-01-06 21:00:00,5G,O2,Router,-90,57,104.35,11.42,0.35,0.7,16.77,113.26,82.64,186,99.52,12.5,Rainy
R00143,West,Germany,2023-01-06 22:00:00,5G,Deutsche Telekom,Smartphone,-83,44,213.95,25.46,0.22,0.3,5.75,203.29,90.78,513,96.07,8.9,Cloudy
R00144,West,Italy,2023-01-06 23:00:00,4G,Deutsche Telekom,Router,-57,98,108.51,2.56,0.09,0.2,14.79,268.41,134.5,165,98.1,-1.2,Rainy
R00145,West,France,2023-01-07 00:00:00,4G,Orange,Router,-74,96,182.81,16.39,1.0,0.95,12.7,31.53,132.08,624,98.0,10.6,Clear
R00146,West,Italy,2023-01-07 01:00:00,5G,Deutsche Telekom,Router,-85,52,176.06,21.0,1.54,0.55,17.12,201.1,123.52,390,98.3,21.3,Rainy
R00147,West,Netherlands,2023-01-07 02:00:00,5G,Vodafone,Router,-89,32,59.31,25.19,1.92,0.34,6.37,151.25,79.92,378,99.73,3.2,Stormy
R00148,East,Spain,2023-01-07 03:00:00,5G,O2,Tablet,-51,57,117.9,17.71,0.53,0.04,15.51,209.08,14.44,445,95.83,32.5,Rainy
R00149,South,France,2023-01-07 04:00:00,4G,O2,Router,-51,77,145.88,6.0,0.24,0.17,17.2,101.99,53.5,844,98.27,28.1,Rainy
R00150,West,Germany,2023-01-07 05:00:00,4G,Vodafone,Tablet,-75,107,181.71,28.95,0.81,0.6,11.43,216.1,95.15,165,95.91,20.1,Rainy
R00151,North,France,2023-01-07 06:00:00,5G,Orange,Router,-95,39,207.37,3.29,0.11,0.51,8.86,62.28,97.45,864,96.57,28.2,Stormy
R00152,North,Germany,2023-01-07 07:00:00,4G,Deutsche Telekom,Smartphone,-66,36,192.38,23.19,0.66,0.76,19.02,234.87,128.12,378,96.95,9.2,Clear
R00153,North,France,2023-01-07 08:00:00,4G,Deutsche Telekom,Router,-77,43,16.79,3.05,1.29,0.83,4.21,227.31,60.01,524,99.18,4.0,Cloudy
R00154,North,Germany,2023-01-07 09:00:00,5G,O2,Router,-67,45,170.95,4.73,0.34,0.4,1.69,284.57,140.81,845,95.27,32.9,Stormy
R00155,East,Germany,2023-01-07 10:00:00,4G,Orange,Smartphone,-61,59,129.36,27.0,1.26,0.1,4.4,60.23,28.67,84,98.67,31.8,Cloudy
R00156,North,France,2023-01-07 11:00:00,5G,Orange,Smartphone,-76,51,147.73,22.72,1.94,0.79,13.99,219.38,12.23,412,99.56,28.1,Cloudy
R00157,West,France,2023-01-07 12:00:00,5G,Orange,Router,-60,112,99.51,11.28,1.73,0.55,15.99,103.57,30.62,215,95.4,6.5,Stormy
R00158,Central,Germany,2023-01-07 13:00:00,4G,Deutsche Telekom,Router,-57,97,181.37,19.34,0.71,0.98,14.62,91.74,72.04,657,98.95,10.5,Stormy
R00159,North,Netherlands,2023-01-07 14:00:00,4G,Orange,Tablet,-95,56,171.73,13.99,0.84,0.8,8.98,126.46,124.32,730,95.54,12.1,Stormy
R00160,East,France,2023-01-07 15:00:00,5G,Vodafone,Smartphone,-73,105,149.08,2.46,0.84,0.33,19.38,92.71,27.31,884,99.81,3.3,Stormy
R00161,East,Italy,2023-01-07 16:00:00,4G,Telecom Italia,Smartphone,-65,117,216.79,21.77,1.72,0.43,9.44,81.98,84.49,745,99.08,29.2,Clear
